shuffling training dataset in 81.40 ms (epoch=0)
  0 6065.00 ms run, 6064.03 ms python,    0.97 ms CUDA, 1187.85 loss, 0.000015 LR, 1.68 GB used,    117.11 GFLOPS,    710.26 GOPS
  1 1108.44 ms run, 1107.34 ms python,    1.10 ms CUDA, 1184.85 loss, 0.000030 LR, 2.89 GB used,    590.81 GFLOPS,    654.88 GOPS
  2   74.96 ms run,   10.99 ms python,   63.98 ms CUDA, 1184.01 loss, 0.000045 LR, 2.89 GB used,   8736.05 GFLOPS,    654.88 GOPS
  3   74.55 ms run,    7.14 ms python,   67.41 ms CUDA, 1174.82 loss, 0.000060 LR, 2.89 GB used,   8784.50 GFLOPS,    654.88 GOPS
  4   75.51 ms run,    6.93 ms python,   68.58 ms CUDA, 1168.06 loss, 0.000075 LR, 2.89 GB used,   8672.19 GFLOPS,    654.88 GOPS
  5   73.66 ms run,    7.09 ms python,   66.56 ms CUDA, 1166.45 loss, 0.000090 LR, 2.89 GB used,   8890.62 GFLOPS,    654.88 GOPS
  6   73.76 ms run,    6.75 ms python,   67.00 ms CUDA, 1161.73 loss, 0.000105 LR, 2.89 GB used,   8878.62 GFLOPS,    654.88 GOPS
  7   73.94 ms run,    7.06 ms python,   66.88 ms CUDA, 1151.20 loss, 0.000120 LR, 2.89 GB used,   8856.73 GFLOPS,    654.88 GOPS
  8   72.62 ms run,    6.66 ms python,   65.96 ms CUDA, 1153.14 loss, 0.000135 LR, 2.89 GB used,   9018.18 GFLOPS,    654.88 GOPS
  9   72.17 ms run,    7.07 ms python,   65.10 ms CUDA, 1144.76 loss, 0.000149 LR, 2.89 GB used,   9074.29 GFLOPS,    654.88 GOPS
 10   74.34 ms run,    6.57 ms python,   67.77 ms CUDA, 1140.76 loss, 0.000164 LR, 2.89 GB used,   8808.85 GFLOPS,    654.88 GOPS
 11   73.68 ms run,    6.91 ms python,   66.77 ms CUDA, 1112.78 loss, 0.000179 LR, 2.89 GB used,   8888.35 GFLOPS,    654.88 GOPS
 12   74.36 ms run,    6.79 ms python,   67.57 ms CUDA, 1109.27 loss, 0.000194 LR, 2.89 GB used,   8806.97 GFLOPS,    654.88 GOPS
 13   74.70 ms run,    7.07 ms python,   67.64 ms CUDA, 1099.51 loss, 0.000209 LR, 2.89 GB used,   8766.52 GFLOPS,    654.88 GOPS
 14   75.41 ms run,    6.75 ms python,   68.66 ms CUDA, 1075.67 loss, 0.000224 LR, 2.89 GB used,   8684.02 GFLOPS,    654.88 GOPS
 15   74.69 ms run,    7.00 ms python,   67.69 ms CUDA, 1057.91 loss, 0.000239 LR, 2.89 GB used,   8768.12 GFLOPS,    654.88 GOPS
 16   74.61 ms run,    6.85 ms python,   67.76 ms CUDA, 1035.13 loss, 0.000254 LR, 2.89 GB used,   8776.99 GFLOPS,    654.88 GOPS
 17   74.80 ms run,    7.18 ms python,   67.62 ms CUDA, 1034.51 loss, 0.000269 LR, 2.89 GB used,   8755.51 GFLOPS,    654.88 GOPS
