shuffling training dataset in 2679.02 ms (epoch=0)
  0 7241.78 ms run, 7240.73 ms python,    1.05 ms CUDA, 1185.37 loss, 0.000015 LR, 0.89 GB used,     90.90 GFLOPS,    658.26 GOPS
  1 1131.69 ms run, 1130.48 ms python,    1.21 ms CUDA, 1185.25 loss, 0.000030 LR, 2.09 GB used,    578.67 GFLOPS,    654.88 GOPS
  2   70.87 ms run,    7.68 ms python,   63.19 ms CUDA, 1180.30 loss, 0.000045 LR, 2.09 GB used,   9240.78 GFLOPS,    654.88 GOPS
  3   69.41 ms run,    4.16 ms python,   65.25 ms CUDA, 1173.24 loss, 0.000060 LR, 2.09 GB used,   9435.41 GFLOPS,    654.88 GOPS
  4   71.26 ms run,    4.26 ms python,   67.00 ms CUDA, 1161.18 loss, 0.000075 LR, 2.09 GB used,   9190.10 GFLOPS,    654.88 GOPS
  5   70.83 ms run,    4.11 ms python,   66.72 ms CUDA, 1169.21 loss, 0.000090 LR, 2.09 GB used,   9246.09 GFLOPS,    654.88 GOPS
  6   70.77 ms run,    4.18 ms python,   66.59 ms CUDA, 1167.10 loss, 0.000105 LR, 2.09 GB used,   9253.04 GFLOPS,    654.88 GOPS
  7   71.02 ms run,    4.04 ms python,   66.98 ms CUDA, 1170.07 loss, 0.000120 LR, 2.09 GB used,   9220.56 GFLOPS,    654.88 GOPS
  8   70.66 ms run,    3.98 ms python,   66.68 ms CUDA, 1138.95 loss, 0.000135 LR, 2.09 GB used,   9267.81 GFLOPS,    654.88 GOPS
  9   71.47 ms run,    3.96 ms python,   67.51 ms CUDA, 1149.22 loss, 0.000149 LR, 2.09 GB used,   9162.78 GFLOPS,    654.88 GOPS
 10   70.71 ms run,    4.00 ms python,   66.71 ms CUDA, 1132.55 loss, 0.000164 LR, 2.09 GB used,   9261.65 GFLOPS,    654.88 GOPS
 11   70.35 ms run,    3.76 ms python,   66.59 ms CUDA, 1120.72 loss, 0.000179 LR, 2.09 GB used,   9308.52 GFLOPS,    654.88 GOPS
 12   69.90 ms run,    3.89 ms python,   66.02 ms CUDA, 1115.31 loss, 0.000194 LR, 2.09 GB used,   9368.52 GFLOPS,    654.88 GOPS
 13   70.80 ms run,    3.85 ms python,   66.94 ms CUDA, 1103.48 loss, 0.000209 LR, 2.09 GB used,   9250.28 GFLOPS,    654.88 GOPS
 14   70.08 ms run,    3.89 ms python,   66.19 ms CUDA, 1078.94 loss, 0.000224 LR, 2.09 GB used,   9344.12 GFLOPS,    654.88 GOPS
 15   71.08 ms run,    3.88 ms python,   67.19 ms CUDA, 1068.57 loss, 0.000239 LR, 2.09 GB used,   9213.68 GFLOPS,    654.88 GOPS
 16   69.46 ms run,    3.80 ms python,   65.65 ms CUDA, 1029.97 loss, 0.000254 LR, 2.09 GB used,   9428.44 GFLOPS,    654.88 GOPS
 17   71.28 ms run,    3.88 ms python,   67.40 ms CUDA, 1022.72 loss, 0.000269 LR, 2.09 GB used,   9186.81 GFLOPS,    654.88 GOPS
